ticket_id,title,description,category,priority,created_at,num_comments,is_reopened,resolution_duration_hours
1,Ticket 1: Issue with Network system,Detailed description for Network problem with priority High.,Network,High,2024-12-19 07:52:36.283556,4,True,52.54
2,Ticket 2: Issue with Hardware system,Detailed description for Hardware problem with priority Low.,Hardware,Low,2024-09-11 00:52:36.283980,13,False,17.47
3,Ticket 3: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2024-09-17 08:52:36.284002,8,False,24.91
4,Ticket 4: Issue with Software system,Detailed description for Software problem with priority High.,Software,High,2024-10-31 22:52:36.284015,0,False,24.34
5,Ticket 5: Issue with Other system,Detailed description for Other problem with priority Medium.,Other,Medium,2024-12-18 21:52:36.284027,11,False,13.59
6,Ticket 6: Issue with Account system,Detailed description for Account problem with priority Medium.,Account,Medium,2025-02-21 08:52:36.284040,14,True,30.29
7,Ticket 7: Issue with Account system,Detailed description for Account problem with priority Critical.,Account,Critical,2025-07-11 03:52:36.284051,10,False,27.49
8,Ticket 8: Issue with Network system,Detailed description for Network problem with priority Critical.,Network,Critical,2024-08-09 13:52:36.284062,15,False,82.39
9,Ticket 9: Issue with Software system,Detailed description for Software problem with priority Low.,Software,Low,2024-11-16 17:52:36.284073,11,False,11.68
10,Ticket 10: Issue with Hardware system,Detailed description for Hardware problem with priority Low.,Hardware,Low,2024-08-04 20:52:36.284084,4,False,16.94
11,Ticket 11: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2025-03-18 16:52:36.284095,0,False,12.85
12,Ticket 12: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2025-04-03 11:52:36.284107,8,False,27.6
13,Ticket 13: Issue with Network system,Detailed description for Network problem with priority Low.,Network,Low,2024-08-05 02:52:36.284118,11,False,18.81
14,Ticket 14: Issue with Account system,Detailed description for Account problem with priority Critical.,Account,Critical,2025-06-24 15:52:36.284129,3,False,21.01
15,Ticket 15: Issue with Other system,Detailed description for Other problem with priority Low.,Other,Low,2024-08-17 11:52:36.284140,0,True,11.06
16,Ticket 16: Issue with Software system,Detailed description for Software problem with priority High.,Software,High,2024-11-02 14:52:36.284151,7,False,27.11
17,Ticket 17: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2025-01-05 22:52:36.284162,2,False,16.03
18,Ticket 18: Issue with Software system,Detailed description for Software problem with priority Low.,Software,Low,2024-12-03 22:52:36.284173,13,False,22.06
19,Ticket 19: Issue with Hardware system,Detailed description for Hardware problem with priority High.,Hardware,High,2025-06-17 14:52:36.284184,13,False,37.75
20,Ticket 20: Issue with Network system,Detailed description for Network problem with priority Low.,Network,Low,2024-08-01 08:52:36.284194,12,True,37.53
21,Ticket 21: Issue with Software system,Detailed description for Software problem with priority Low.,Software,Low,2024-09-16 22:52:36.284205,2,True,14.69
22,Ticket 22: Issue with Network system,Detailed description for Network problem with priority Low.,Network,Low,2024-08-27 12:52:36.284216,0,False,7.46
23,Ticket 23: Issue with Hardware system,Detailed description for Hardware problem with priority Low.,Hardware,Low,2025-07-14 01:52:36.284227,2,False,16.02
24,Ticket 24: Issue with Hardware system,Detailed description for Hardware problem with priority High.,Hardware,High,2025-05-08 02:52:36.284239,0,False,43.78
25,Ticket 25: Issue with Other system,Detailed description for Other problem with priority Medium.,Other,Medium,2025-07-06 00:52:36.284249,7,False,9.86
26,Ticket 26: Issue with Account system,Detailed description for Account problem with priority Medium.,Account,Medium,2025-04-04 13:52:36.284260,15,False,22.38
27,Ticket 27: Issue with Network system,Detailed description for Network problem with priority Medium.,Network,Medium,2025-03-21 02:52:36.284271,8,True,49.66
28,Ticket 28: Issue with Software system,Detailed description for Software problem with priority Low.,Software,Low,2024-12-24 04:52:36.284281,11,True,26.86
29,Ticket 29: Issue with Other system,Detailed description for Other problem with priority High.,Other,High,2025-06-30 20:52:36.284291,5,True,27.07
30,Ticket 30: Issue with Software system,Detailed description for Software problem with priority Medium.,Software,Medium,2025-05-18 13:52:36.284302,3,False,21.5
31,Ticket 31: Issue with Hardware system,Detailed description for Hardware problem with priority Low.,Hardware,Low,2024-07-29 01:52:36.284312,7,False,21.25
